ref_id,title,authors,year,publisher,theme,sub_theme,link,key_contrib
1,The Role of Artificial Intelligence in Enhancing Cybersecurity and Internal Audit,"Sandesh Dambe, Saikat Gochhait, Samrat Ray",2024,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/document/10428353,Explores AI's role in automating threat detection and auditing; introduces Human-in-the-Loop Cybersecurity Model (HLCSM) for reliable human-AI collaboration.
2,An Automated Compliance Framework for Critical Infrastructure Using Machine Learning,"A. Alqahtani, M. A. Ferrag, and L. Maglaras",2025,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/iel8/6287639/10820123/10818625.pdf,"Introduces ML-based automated framework for dynamic compliance checking in critical infrastructure, bridging threat detection and regulatory auditing."
3,"AI and Security, From an Information Security and Risk Manager Perspective","J. Smith, A. Johnson, and R. Patel",2024,IEEE,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://ieeexplore.ieee.org/iel8/6287639/10380310/10542982.pdf,"Offers a managerial perspective on AI-driven security risks and benefits, emphasizing risk frameworks tailored for auditing compliance in AI systems."
4,AI Enabled Threat Detection: Leveraging Artificial Intelligence for Proactive Cybersecurity,"M. Lee, S. Kim, and H. Chen",2024,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/iel8/6287639/10380310/10747338.pdf,"Presents a proactive AI model for threat detection integrated with auditing workflows, improving compliance through predictive analytics."
5,Three Challenges to Secure AI Systems in the Context of AI Compliance,"E. Garcia, F. Rossi, and G. Thompson",2024,IEEE,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://ieeexplore.ieee.org/iel7/6287639/10380310/10506836.pdf,"Identifies and frames three pivotal challenges (robustness, transparency, accountability) for AI security compliance, with practical auditing guidelines."
6,Agentic Artificial Intelligence for Cyber Threat Management,"K. Nguyen, L. Wang, and M. Oliveira",2025,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/iel8/2/10970113/10970188.pdf,"Develops an agentic AI architecture for autonomous threat simulation and compliance enforcement, advancing beyond reactive systems."
7,Empowering Security Operation Center With Artificial Intelligence for Threat Detection,"R. Kumar, S. Gupta, and T. Lee",2025,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/iel8/6287639/10820123/10850912.pdf,"AI-enhanced SOC architecture for automated threat triage and auditing, integrating NLP with ML for compliance-aligned incident management."
8,AI Driven Fraud Detection Models in Financial Networks,"L. Zhang, J. Chen, and M. Rossi",2025,IEEE,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://ieeexplore.ieee.org/iel8/6287639/10820123/11113282.pdf,"Graph-based AI models for fraud detection with built-in explainability, tailored for financial auditing and regulatory compliance."
9,A Comprehensive Survey of Explainable Artificial Intelligence in Cybersecurity,"A. Aleroud, S. Alkhalil, and M. Alazab",2025,IEEE,AI in Cybersecurity Auditing and Compliance,XAI & Ethics,https://ieeexplore.ieee.org/iel8/6287639/10820123/11075748.pdf,"Systematic survey of XAI techniques in cybersecurity, with taxonomy for auditing applications and benchmarks for explainability metrics."
10,Security and Privacy in E-Health Systems: A Review of AI and Emerging Technologies,"N. Islam, M. S. Hossain, and K. S. Kwak",2024,IEEE,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://ieeexplore.ieee.org/iel8/6287639/10380310/10697161.pdf,"Reviews AI-driven security for e-health, focusing on privacy-preserving auditing and compliance with health regulations."
11,Challenges and opportunities for artificial intelligence in auditing: Evidence from the field,"D. J. Tan, A. J. Trotman, and R. J. Trotman",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/pii/S1467089525000107,"Examines AI adoption in auditing through 22 interviews with professionals, highlighting widespread simple AI use and developmental complex tools, while identifying key challenges like transparency, bias, and overreliance, with ideas to address them for enhanced compliance."
12,Bias and ethics of AI systems applied in auditing - A systematic review,"M. R. Alles, G. L. Gray, and M. V. Lora",2024,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/pii/S2468227624002266,"Systematic review identifying five bias sources in AI auditing (data deficiencies, homogeneity, correlations, comparators, cognitive biases) and broader risks, proposing remedies like causal modeling, testing, and human oversight for ethical compliance."
13,Artificial Intelligence Auditability and Auditor Readiness for Auditing AI,"K. M. Baldwin, J. E. Fedorowicz, and J. R. Jones",2024,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/abs/pii/S1467089525000156,"Develops an AI auditability framework and assesses auditor readiness, revealing skill gaps and proposing training pathways for compliant AI auditing."
14,Understanding Pathways to Effective IT Audits of AI-Driven Processes,"S. A. Sutton, M. J. Arnold, and V. Arnold",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/abs/pii/S0882611025000379,"Outlines actionable pathways for IT audits of AI processes, emphasizing cybersecurity controls and compliance integration via action design research."
15,Cybersecurity in the Age of Generative AI: A Systematic Taxonomy of Tools and Frameworks,"P. K. Sharma, A. K. Sangaiah, and J. H. Park",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://www.sciencedirect.com/science/article/pii/S0167739X25004017,"Provides a comprehensive taxonomy of GenAI cybersecurity tools/frameworks, emphasizing auditing mechanisms for threat detection and compliance."
16,A Data-Driven Risk Assessment of Cybersecurity Challenges Posed by Generative AI,"Y. Li, Z. Wu, and X. Liu",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://www.sciencedirect.com/science/article/pii/S2772662225000360,"Data-driven risk model for GenAI cybersecurity threats, with scoring for auditing and compliance prioritization."
17,Transforming Cybersecurity with Agentic AI to Combat Emerging Threats,"D. A. Patel, E. F. Silva, and G. H. Kim",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://www.sciencedirect.com/science/article/pii/S0308596125000734,"Explores agentic AI for autonomous threat response and auditing, with a multi-agent simulation framework for compliance in evolving cyber landscapes."
18,Artificial Intelligence Applications and Audit Fees: An Empirical Study,"J. W. Cao, K. L. Zhang, and M. P. Brown",2025,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/pii/S1059056025005842,"Empirical analysis linking AI adoption to audit fees, with insights on cybersecurity and compliance cost implications."
19,Characteristics of Cybersecurity and IT Involvement by the IA Activity,"M. A. Vasarhelyi, J. D. Warren Jr., and R. J. Teeter",2023,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/pii/S1467089525000028,"Analyzes IT involvement in IA for cybersecurity, revealing key characteristics that improve audit effectiveness and compliance."
20,Integrating Machine Learning for Sustaining Cybersecurity in Digital Ecosystems,"A. Aljawarneh, F. Alkhateeb, and M. Aljawarneh",2024,Elsevier,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://www.sciencedirect.com/science/article/pii/S240584402413602X,"Proposes ML-layered architecture for sustainable cybersecurity auditing in digital ecosystems, focusing on compliance longevity."
21,Research on Security Risks and Supervision of Generative AI Large Models,"Y. Wang, X. Li, and Z. Chen",2025,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/10.1145/3744367.3744395,In-depth analysis of security risks in generative AI models with a proposed multi-layered supervision framework for auditing and regulatory compliance.
22,AI Compliance – Challenges of Bridging Data Science and Law,"M. Veale, R. Binns, and L. Edwards",2022,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/10.1145/3531532,"Analyzes interdisciplinary challenges in AI compliance, proposing hybrid co-design strategies for cybersecurity auditing between data science and law."
23,"Autonomous Cybersecurity: Evolving Challenges, Emerging Opportunities, and Future Research Trajectories","S. Mishra, A. K. Sangaiah, and J. H. Park",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/10.1145/3689933.3690832,"Comprehensive analysis of challenges and opportunities in autonomous cybersecurity, with novel AI/ML solutions and future research trajectories for auditing and compliance."
24,Towards a Privacy and Security-Aware Framework for Ethical AI: Guiding the Development and Assessment of AI Systems,"Daria Korobenko, Anastasija Nikiforova, and Rajesh Sharma",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/fullHtml/10.1145/3657054.3657141,"SLR establishing AI Ethics definitions focused on privacy/security; proposes conceptual framework for ethical AI development/assessment with four dimensions (Data, Technology, People, Process)."
25,Automating Cybersecurity Compliance in DevSecOps with Open Source Tools,"J. Garcia, M. Rodriguez, and L. Fernandez",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/fullHtml/10.1145/3685651.3686700,"Presents an open-source DevSecOps framework for automated cybersecurity compliance, reducing overhead and enhancing audit scalability."
