ref_id,accuracy_pct,explainability,compliance_focus
1,90,5,High
2,92,3,High
3,90,3,High
4,95,3,High
5,90,3,High
6,90,3,High
7,90,3,High
8,94,3,Medium
9,90,5,High
10,90,3,Medium
11,90,4,High
12,90,4,Medium
13,90,3,Medium
14,90,3,Medium
15,90,3,High
16,90,3,Medium
17,90,3,High
18,90,3,High
19,90,3,High
20,90,3,High
21,90,3,Medium
22,90,3,High
23,90,3,Medium
24,90,5,High
25,90,3,High
26,90,3,Low
27,90,3,High
28,90,3,High
29,90,3,Medium
30,90,5,Medium
31,90,3,Medium
32,90,3,High
33,98,3,Medium
34,90,3,High
35,90,3,Low
36,90,3,Medium
37,90,3,High
38,90,3,Low
39,90,4,Low
40,90,3,Low
